LATITUDE,LONGITUDE
41.8074405,-87.70395585
41.89827996,-87.71640551
41.81593313,-87.62464213
41.74366532,-87.56246276
41.7734553,-87.70648047
41.89644677,-87.64493868
41.97284491,-87.70860008
41.82387989,-87.61350386
41.71128051,-87.6891791
41.93929582,-87.71092344
41.75459296,-87.74152854
41.86576126,-87.64687598
41.69715437,-87.64131567
41.86824272,-87.63922391
41.87258418,-87.72178565
41.92974382,-87.68427378
41.73273081,-87.58511413
41.75077211,-87.62453842
41.87565911,-87.76256886
41.8691736,-87.77018245
41.89798294,-87.62409563
41.8815977,-87.62775808
41.76920358,-87.62244037
41.82737375,-87.68256806
41.78512289,-87.64491718
41.96184525,-87.7310293
41.97629041,-87.90522722
41.773204,-87.68347884
41.70445472,-87.64275716
41.750102,-87.63792916
41.87910409,-87.62434115
41.8285016,-87.61927867
41.93953877,-87.64438351
41.81083442,-87.6754139
41.85372509,-87.69742748
41.92511408,-87.70095228
41.89614043,-87.64878026
41.89867615,-87.70245104
41.76833059,-87.64813561
41.903142,-87.63077557
41.88285155,-87.62771491
41.76346691,-87.57132336
41.85227488,-87.66908723
41.91329017,-87.67142355
41.94316683,-87.68251667
41.77979388,-87.63182661
41.92923973,-87.70766234
41.88065311,-87.63439665
41.91179756,-87.77530779
41.93604616,-87.63678016
41.79344111,-87.63180984
41.77579347,-87.61069831
41.88140727,-87.75631908
41.85481053,-87.71630954
41.90148766,-87.728728
41.88945317,-87.62799483
41.91199331,-87.76431002
41.87395682,-87.68195253
41.99598354,-87.78763989
41.82631315,-87.67272382
41.92509811,-87.67229367
41.78732372,-87.66441195
41.93543292,-87.66850434
41.87776207,-87.63688469
41.81080062,-87.60392245
41.98115315,-87.6697502
41.93990585,-87.65441005
41.85145378,-87.67231838
41.80139327,-87.65917869
41.72189586,-87.61384102
41.89587761,-87.70656663
41.8952399,-87.74581479
41.9975448,-87.70046744
41.80213772,-87.70380602
41.77481479,-87.67622207
41.77289355,-87.61960616
41.77917942,-87.77276701
41.79314445,-87.72983895
41.76565599,-87.6832691
41.69442233,-87.66330302
41.75459296,-87.74152854
41.68826295,-87.63500028
41.92974382,-87.68427378
41.8729373,-87.69047017
41.93307805,-87.69159758
41.91149502,-87.68481506
42.00701239,-87.67799561
41.95132446,-87.76782401
41.83478608,-87.70475217
41.7362964,-87.64036804
41.88199496,-87.62765089
41.98109971,-87.83803283
41.7807332,-87.78137324
41.95483572,-87.73087472
41.77929591,-87.64477419
41.89174678,-87.62344844
41.98603604,-87.6614236
41.90961488,-87.74701658
41.78070666,-87.66667324
41.69249346,-87.59870306
41.96358994,-87.70832281
41.87756686,-87.68461475
41.72153655,-87.63748998
41.79598053,-87.76063592
41.91172297,-87.78834715
41.70949645,-87.56090809
41.94312358,-87.68603108
41.83638523,-87.66571041
41.90217367,-87.6893468
41.91924736,-87.71463465
41.86559007,-87.764707
41.94622144,-87.70825356
41.78659414,-87.66778928
42.00875095,-87.69976766
41.75124194,-87.70379416
41.74626491,-87.64513091
41.80706791,-87.60384375
41.84755595,-87.7038968
41.75469107,-87.55703869
41.78849326,-87.64865431
41.80410835,-87.65841301
41.96938944,-87.70048881
41.85191936,-87.71145926
41.76008039,-87.55818693
41.88358005,-87.70947777
41.89211908,-87.68598438
41.69906886,-87.62448396
41.93305809,-87.71394625
41.89816743,-87.71640292
41.88038556,-87.75397078
41.90214763,-87.63286559
41.71976292,-87.59471496
41.89408407,-87.74411014
41.70688095,-87.64692076
41.94486792,-87.64941345
41.76890134,-87.63490722
41.79057107,-87.63775596
41.85765368,-87.67673292
41.77255605,-87.61301853
41.89418971,-87.71871472
41.90634674,-87.77065305
41.83981621,-87.61751617
41.85844398,-87.71275427
41.84083118,-87.70767292
41.92112344,-87.76709866
41.92624818,-87.74497181
41.75131717,-87.56380046
41.87735457,-87.70266813
41.94382121,-87.67121812
41.92778453,-87.64884628
41.91953201,-87.76825913
41.86804342,-87.72094045
41.76302702,-87.58624307
41.81138164,-87.74331705
41.77194987,-87.64944248
41.79599104,-87.63054249
41.7715944,-87.64323257
41.8701448,-87.7228663
41.88465026,-87.62791546
41.94111969,-87.64534052
41.84887283,-87.69290967
41.77927306,-87.67697216
41.89315175,-87.74693211
41.76918098,-87.62455576
41.81158406,-87.60456282
41.90229796,-87.75117933
41.89045993,-87.76778089
41.85628102,-87.70660101
41.95364179,-87.72822799
41.88144179,-87.66783781
41.86221801,-87.65744617
41.90984675,-87.72927735
41.93119046,-87.640214
41.86025361,-87.72012274
41.92970038,-87.64891033
41.88181984,-87.76309792
41.81437718,-87.60447613
41.91014987,-87.63467747
41.78954227,-87.7263965
41.77651055,-87.68100012
41.89973555,-87.72744421
41.79509079,-87.66218586
41.89934404,-87.76798167
41.75412154,-87.70746025
41.75627357,-87.55284517
41.87688097,-87.6974036
41.81425311,-87.63350864
41.81075326,-87.60901434
41.86010231,-87.7103668
41.72256142,-87.62868748
41.80082022,-87.66963358
41.87393649,-87.75558951
41.75817139,-87.62865724
41.88619239,-87.72582411
41.89614452,-87.69424841
41.65527698,-87.59733674
42.00505013,-87.68862676
41.88783376,-87.75348849
41.83876214,-87.65639763
41.76252653,-87.67347381
41.82818901,-87.698792
41.99902303,-87.796138
41.80192174,-87.60287886
41.70176349,-87.53528303
41.87284378,-87.76317771
41.89940638,-87.68524961
41.68450696,-87.63245993
41.79906661,-87.65135838
41.82167019,-87.68970283
41.93519105,-87.66465887
41.91042961,-87.73367311
41.85573412,-87.65478711
41.75042201,-87.60152439
41.86404527,-87.70925654
41.91918058,-87.71090952
41.77281419,-87.69323424
41.79090565,-87.69738135
41.97969354,-87.80040126
41.86365114,-87.71046084
41.68841275,-87.6108423
41.8739014,-87.7584391
41.94550677,-87.74704439
41.82435275,-87.70784072
41.97814597,-87.67507366
41.93182501,-87.75643821
42.01269752,-87.67115923
41.85390268,-87.68210466
41.89611927,-87.66428058
41.87619698,-87.72410855
41.72177386,-87.57898476
41.84229613,-87.7000729
41.79180409,-87.63292413
41.74016294,-87.68890519
41.95830989,-87.70326764
41.95911707,-87.72833797
41.98190944,-87.7792346
41.76818496,-87.6578366
41.7905386,-87.79878798
41.79455215,-87.72565247
41.79014072,-87.67797972
41.89972788,-87.66615665
41.94752628,-87.67414628
41.93707873,-87.79688972
41.78962843,-87.68636753
41.74641581,-87.62569667
41.89553111,-87.64922385
41.74203263,-87.73577014
41.94464161,-87.78753023
41.73233066,-87.5962343
41.76384622,-87.57931687
41.89247942,-87.62744368
41.73711561,-87.57165693
41.69531362,-87.6207721
41.7478649,-87.64881501
41.89074702,-87.75055336
41.92940181,-87.70367714
41.64579585,-87.54247201
41.73625056,-87.62832169
41.96982579,-87.65763728
41.88809286,-87.75534813
41.7657088,-87.58591505
41.87793471,-87.70236867
41.87154875,-87.69589235
42.0211776,-87.67220843
41.73480925,-87.72420818
41.82890791,-87.69234919
41.88537717,-87.74369071
41.97629041,-87.90522722
41.87695909,-87.68633201
41.87886211,-87.72626809
41.86818094,-87.70927139
41.96004678,-87.64676205
41.75902437,-87.57139424
41.76493695,-87.62167373
41.88800087,-87.76329636
41.79351246,-87.63180906
41.86389979,-87.70925061
41.87826548,-87.68635555
41.96539325,-87.65799298
41.74197479,-87.56000598
41.82366822,-87.68973785
41.79155672,-87.68522603
41.80218118,-87.61048625
41.87853875,-87.70542885
41.78562112,-87.68625382
41.74941598,-87.65492213
41.89683462,-87.71147916
41.8010952,-87.64409708
41.78126375,-87.60432695
41.77484347,-87.61236971
41.88039991,-87.75300855
41.80574416,-87.66975515
41.85813703,-87.679683
41.87164648,-87.72400857
41.86519397,-87.65998469
41.89622263,-87.73104025
41.67742542,-87.63587885
41.96643056,-87.65103242
41.85500274,-87.72404177
41.89256317,-87.71989092
41.89774891,-87.72127014
41.90681567,-87.72277789
41.94595797,-87.76031752
41.89722132,-87.75939804
41.88441515,-87.74822021
41.90353572,-87.75827987
41.75237205,-87.60522934
41.82435289,-87.7078664
41.77964003,-87.70330384
41.96466441,-87.72184715
41.91626623,-87.72163701
42.011796,-87.67233871
41.90184559,-87.71554468
41.80151246,-87.65055125
41.78702538,-87.72788695
41.94007614,-87.6424738
41.85773678,-87.67017968
41.90649223,-87.64017999
41.92242233,-87.74542953
41.77694808,-87.58866619
41.90731274,-87.71260816
41.95343636,-87.74627323
41.92722425,-87.79689879
41.94187156,-87.69919149
41.99464657,-87.70439555
41.90172993,-87.7262756
41.90996192,-87.77030168
41.79228849,-87.65884139
41.70634533,-87.68853255
41.75161364,-87.57537386
41.74890306,-87.60390164
41.76885361,-87.59522983
41.87090509,-87.7364659
41.74414362,-87.59007138
41.89210585,-87.68704595
41.78344986,-87.64097151
41.81811349,-87.70304427
41.88113134,-87.76815693
41.98676632,-87.69761692
41.89876792,-87.62411633
41.72820456,-87.60461941
41.90093203,-87.75949705
41.90152508,-87.72749709
41.909558,-87.75148075
41.84685952,-87.61732389
41.87671722,-87.75031732
41.85691726,-87.66467465
41.70775621,-87.58070877
41.72169857,-87.62537818
41.87014181,-87.69703716
41.77241673,-87.64857603
41.95188613,-87.64962517
41.87980993,-87.72181223
41.8088387,-87.61265623
41.75923359,-87.6491157
41.72097091,-87.67997607
41.80213261,-87.61367763
41.74114436,-87.57457729
41.77679744,-87.60411357
41.78934296,-87.68879789
41.81679481,-87.60793377
41.75501329,-87.66598631
41.87837031,-87.70724814
41.89666404,-87.62917534
41.74047635,-87.6546828
41.7561063,-87.64243828
41.69159874,-87.61212473
41.75420991,-87.55043302
41.88177206,-87.74868498
41.77734524,-87.6457776
41.7769974,-87.64957217
41.88008194,-87.67233922
41.91199729,-87.77405691
41.69800123,-87.6271431
41.73741441,-87.54876843
41.85440555,-87.71755043
41.91684538,-87.68611667
41.93418879,-87.75282624
41.8983901,-87.65561766
41.76811648,-87.58269062
41.90899932,-87.79679791
41.67975493,-87.63040295
41.81164453,-87.66505034
41.75034132,-87.66437094
41.93022658,-87.6561995
41.78517002,-87.73150141
41.76518872,-87.61846728
41.69676349,-87.52822298
41.92443781,-87.73084109
41.76989739,-87.5936709
41.84938154,-87.71615251
41.72224881,-87.66975409
41.93928502,-87.78238611
41.95144746,-87.79865147
41.70673677,-87.65918703
41.73603247,-87.58810948
41.76473236,-87.64301653
41.75408032,-87.55357173
41.74264783,-87.65109829
41.77360634,-87.66041191
41.76608406,-87.65292843
41.88171283,-87.75323904
41.76258082,-87.66860929
41.77558748,-87.63688771
41.95935337,-87.70992679
41.74044266,-87.56849579
41.95071764,-87.72017548
41.87921415,-87.68280613
41.72753093,-87.5718361
41.79465029,-87.58763986
41.90139648,-87.63750584
41.85526689,-87.64178688
41.92103119,-87.70957608
41.78494488,-87.60970089
41.8823436,-87.72816673
41.88568879,-87.67431227
41.76512359,-87.621679
41.890091,-87.71433947
41.79171928,-87.64752354
41.77352791,-87.70120071
41.9039889,-87.76220641
41.7945894,-87.70603255
41.75131301,-87.66346299
41.92318331,-87.74505509
41.80944182,-87.70760798
41.78239751,-87.68739352
41.97810845,-87.90412276
41.89090025,-87.63939736
41.98889458,-87.70486783
41.72225893,-87.58307441
41.75161195,-87.67195845
41.89068696,-87.68507699
41.96483755,-87.84187255
41.88945317,-87.62799483
42.0193833,-87.67275327
41.75241282,-87.71067256
41.73645417,-87.61467513
41.9040641,-87.68053721
41.7497423,-87.64886469
41.95758135,-87.70152846
41.94391468,-87.65386761
41.96528267,-87.65785443
41.93158085,-87.74295666
41.78898704,-87.74147999
41.74945679,-87.55406744
41.82116453,-87.61549337
41.98676092,-87.69862481
41.86628662,-87.71572561
41.84416527,-87.73073233
41.67783055,-87.62050376
41.89796161,-87.73454643
41.74095603,-87.65226674
41.94727721,-87.68827183
41.90274056,-87.7181662
41.79319294,-87.66333147
41.96604713,-87.70350763
41.94599344,-87.75753456
41.89729974,-87.76913101
41.98077882,-87.80543826
41.87975288,-87.68392799
41.77228548,-87.62511546
